target_sensitivity,threshold,validation_n,validation_true_vt,validation_false_vt,validation_tp,validation_fn,validation_tn,validation_fp,validation_sensitivity,validation_fasr,validation_specificity,validation_ppv,validation_npv,validation_all_alarm_suppression,validation_f1,validation_challenge_score,validation_auroc,validation_auprc
0.95,0.102635692,495,141,354,134,7,265,89,0.950354609929078,0.748587570621469,0.748587570621469,0.600896860986547,0.9742647058823529,0.5353535353535354,0.7362637362637363,76.2906309751434,0.9423808951396403,0.8533784324963221
0.975,0.065468185,495,141,354,138,3,245,109,0.9787234042553191,0.692090395480226,0.692090395480226,0.5587044534412956,0.9879032258064516,0.494949494949495,0.711340206185567,75.54240631163708,0.9423808951396403,0.8533784324963221
0.99,0.022276472,495,141,354,140,1,184,170,0.9929078014184397,0.519774011299435,0.519774011299435,0.45161290322580644,0.9945945945945946,0.3717171717171717,0.6208425720620843,64.92985971943888,0.9423808951396403,0.8533784324963221
